leg_exp,site,samples,core_comp_photo,core_closeup_img
23,224,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=224,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=224,not available
23,225,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=225,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=225,not available
23,226,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=226,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=226,not available
23,227,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=227,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=227,not available
23,228,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=228,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=228,not available
23,229,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=229,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=229,not available
23,230,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=23&site=230,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=23&site=230,not available
24,231,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=231,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=231,not available
24,232,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=232,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=232,not available
24,233,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=233,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=233,not available
24,234,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=234,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=234,not available
24,235,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=235,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=235,not available
24,236,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=24&site=236,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=24&site=236,not available
