leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
192,1187,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=192&site=1187,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=192&site=1187,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=192&site=1187,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=192&site=1187
193,1188,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=193&site=1188,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=193&site=1188,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=193&site=1188,no data available
193,1189,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=193&site=1189,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=193&site=1189,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=193&site=1189,no data available
193,1190,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=193&site=1190,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=193&site=1190,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=193&site=1190,no data available
193,1191,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=193&site=1191,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=193&site=1191,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=193&site=1191,no data available
194,1192,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1192,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1192,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=194&site=1192,no data available
194,1193,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1193,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1193,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=194&site=1193,no data available
194,1194,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1194,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1194,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=194&site=1194,no data available
194,1195,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1195,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1195,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=194&site=1195,no data available
194,1196,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1196,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1196,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=194&site=1196,no data available
194,1197,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1197,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1197,no data available,no data available
194,1198,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1198,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1198,no data available,no data available
194,1199,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=194&site=1199,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=194&site=1199,no data available,no data available
195,1200,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=195&site=1200,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=195&site=1200,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=195&site=1200,no data available
195,1201,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=195&site=1201,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=195&site=1201,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=195&site=1201,no data available
